source_page,event_id,title,price_min,price_max,places_theatre,adress,event_date
1,6730675,Концерт «Вечера баянного и аккордеонного искусства»,300,300,Сибирский государственный институт искусств им. Дмитрия Хворостовского,"Красноярский край, г. Красноярск, ул. Ленина, д. 22",2026-04-23
1,6776122,Х открытый Международный конкурс «Поэзия без границ»,0,0,Научная библиотека Красноярского государственного аграрного университета,"Красноярский край, г. Красноярск, ул. Елены Стасовой, д. 44Г",2026-04-24
1,6732264,Концерт «Хоровод дружбы»,200,300,Сибирский государственный институт искусств им. Дмитрия Хворостовского,"Красноярский край, г. Красноярск, ул. Ленина, д. 22",2026-04-24
1,6699853,Концерт «Весна Победы»,200,200,Сибирский государственный институт искусств им. Дмитрия Хворостовского,"Красноярский край, г. Красноярск, ул. Ленина, д. 22",2026-04-27
1,6711296,Концерт «Брасс-фест»,200,200,Сибирский государственный институт искусств им. Дмитрия Хворостовского,"Красноярский край, г. Красноярск, ул. Ленина, д. 22",2026-04-28
1,6801944,Концерт «Перезагрузка»,150,150,Сибирский государственный институт искусств им. Дмитрия Хворостовского,"Красноярский край, г. Красноярск, ул. Ленина, д. 22",2026-05-13
1,6256864,Спектакль «Не стоит село без праведника»,350,350,Сибирский государственный институт искусств им. Дмитрия Хворостовского,"Красноярский край, г. Красноярск, ул. Ленина, д. 22",2025-12-10
1,6119656,Спектакль «Веруй…»,400,400,Сибирский государственный институт искусств им. Дмитрия Хворостовского,"Красноярский край, г. Красноярск, ул. Ленина, д. 22",2025-10-31
1,6255438,Спекткль «Дорогая Елена Сергеевна»,400,400,Сибирский государственный институт искусств им. Дмитрия Хворостовского,"Красноярский край, г. Красноярск, ул. Ленина, д. 22",2025-12-04
1,6678357,Спектакль «Тартюф»,400,400,Сибирский государственный институт искусств им. Дмитрия Хворостовского,"Красноярский край, г. Красноярск, ул. Ленина, д. 22",2026-04-03
1,4801093,Игровая программа «Правовой марафон»,150,300,,,2025-03-20
1,6046881,Концерт «Российский джаз»,300,300,Педагогический университет им. В. П. Астафьева,"Красноярский край, г. Красноярск, ул. Ады Лебедевой, д. 89",2025-11-12
1,6542243,Интерактивное занятие «Масляная пастель. Гиацинты»,1400,1400,Красноярский художественный музей им. В. И. Сурикова. Отдел искусства XX–XXI веков,"Красноярский край, г. Красноярск, пр-кт. Мира, д. 12",2026-04-23
1,6503555,Концерт «Традиции и современность. Во славу русской души»,600,900,Органный зал Красноярской краевой филармонии,"Красноярский край, г. Красноярск, ул. Декабристов, д. 20",2026-04-23
1,6686889,Практикум «Коллективный этюд: яблочные пейзажи Бунина»,200,400,Красноярская краевая молодежная библиотека на ул. Щорса,"Красноярский край, г. Красноярск, ул. Щорса, д. 46",2026-04-24
1,6692574,Литературная игра «Живая рукопись»,150,300,Красноярская краевая молодежная библиотека,"Красноярский край, г. Красноярск, ул. им. газеты ""Пионерская правда"", д. 3А",2026-04-24
1,6691286,Кинопоказ к 40-й годовщине катастрофы на Чернобыльской АЭС,0,0,Енисей кино,"Красноярский край, г. Красноярск, ул. Пролетарская, д. 153",2026-04-24
1,6701634,Программа «Диалог с киноведом: театр в кадре»,350,900,Красноярский драматический театр им. А. С. Пушкина,"Красноярский край, г. Красноярск, пр-кт. Мира, д. 73",2026-04-24
1,6002073,Экскурсия «В начале было слово»,100,400,Красноярский краевой краеведческий музей,"Красноярский край, г. Красноярск, ул. Дубровинского, д. 84",2025-07-24
1,6612910,Концерт «Тукай в наших сердцах»,250,300,Дворец труда и согласия им. А. Н. Кузнецова,"Красноярский край, г. Красноярск, пр-кт. Металлургов, д. 22",2026-04-25
