id,title,category,tags,venue,startDate,endDate,match_status,match_score,place_name,place_type,address_full,district,lat,lon,osm_type,osm_id,osm_url,source_provider,source_url,raw_title,raw_date_text,scraped_at
kassir:krs:koncert:vecher-klassicheskoy-muzyiki,Вечер классической музыки,concert,music,Дом Актера (Красноярск),2026-04-25T17:00:00+07:00,2026-04-25T19:30:00+07:00,exact,1.08,Дом актера,theatre,"660000, Красноярск, улица Бограда",Центральный район,56.0087597,92.8756067,node,3158291836,https://www.openstreetmap.org/node/3158291836,kassir,https://krs.kassir.ru/koncert/vecher-klassicheskoy-muzyiki,Вечер классической музыки,25 апреля 17:00 сб,2026-04-23T08:01:45Z
kassir:krs:koncert:pesenki-vertinskogo-1,Песенки Вертинского,concert,music,Красноярский драмтеатр им. А.С. Пушкина,2026-05-07T19:00:00+07:00,2026-05-07T21:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/koncert/pesenki-vertinskogo-1,Песенки Вертинского,7 мая 19:00 чт,2026-04-23T08:01:45Z
kassir:krs:koncert:monah-avel-vechnaya-lyubov_2026-05-12,Монах Авель. Вечная любовь,concert,music,Красноярская краевая филармония,2026-05-12T19:00:00+07:00,2026-05-12T21:30:00+07:00,exact,1.08,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/koncert/krasnoyarskaya-kraevaya-filarmoniya-2017/monah-avel-vechnaya-lyubov_2026-05-12,Монах Авель. Вечная любовь,12 мая 19:00 вт,2026-04-23T08:01:45Z
kassir:krs:koncert:queen-shou-bogemskaya-rapsodiya-v-soprovojdenii-simfonicheskogo-orkestra_2026-04-07,Queen. Шоу «Богемская рапсодия» в сопровождении симфонического оркестра,concert,"music, orchestra",Красноярская краевая филармония,2026-01-02T00:00:00+07:00,,exact,1.16,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/koncert/krasnoyarskaya-kraevaya-filarmoniya-2017/queen-shou-bogemskaya-rapsodiya-v-soprovojdenii-simfonicheskogo-orkestra_2026-04-07,Queen. Шоу «Богемская рапсодия» в сопровождении симфонического оркестра,2 января 2027,2026-04-23T08:01:45Z
kassir:krs:koncert:aleksandr-rayn-9,Александр Райн,concert,music,Дом Кино,2026-06-02T19:00:00+07:00,2026-06-02T21:30:00+07:00,exact,1.16,Дом кино,cinema,"проспект Мира, 88",Центральный район,56.0120943,92.864693,way,66007969,https://www.openstreetmap.org/way/66007969,kassir,https://krs.kassir.ru/koncert/aleksandr-rayn-9,Александр Райн,2 июня 19:00 вт,2026-04-23T08:01:45Z
kassir:krs:koncert:balet-igorya-moiseeva-13,Балет Игоря Моисеева,concert,"ballet, dance, music",Красноярская краевая филармония,2026-11-18T19:00:00+07:00,2026-11-18T21:30:00+07:00,exact,1.13,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/koncert/balet-igorya-moiseeva-13,Балет Игоря Моисеева,18 ноября 19:00 ср,2026-04-23T08:01:45Z
kassir:krs:koncert:opernyie-snyi-neyroseti,Оперные сны Нейросети,concert,music,Красноярский государственный театр оперы и балета,2026-05-01T00:00:00+07:00,,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/koncert/opernyie-snyi-neyroseti,Оперные сны Нейросети,1 – 14 мая,2026-04-23T08:01:45Z
kassir:krs:koncert:andru-donalds-zolotoy-golos-enigma,"Andru Donalds ""Золотой голос Энигма""",concert,music,Красноярская краевая филармония,2026-11-06T19:00:00+07:00,2026-11-06T21:30:00+07:00,exact,1.08,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/koncert/andru-donalds-zolotoy-golos-enigma,"Andru Donalds ""Золотой голос Энигма""",6 ноября 19:00 пт,2026-04-23T08:01:45Z
kassir:krs:koncert:formula-orkestra-motsart-otets-i-syin_2026-05-23,Формула оркестра. Моцарт: отец и сын,concert,"music, orchestra",Красноярский государственный театр оперы и балета,2026-05-23T19:00:00+07:00,2026-05-23T21:30:00+07:00,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/koncert/kgauk-krasnoyarskiy-gosudarstvennyiy-teatr-operyi-i-baleta/formula-orkestra-motsart-otets-i-syin_2026-05-23,Формула оркестра. Моцарт: отец и сын,23 мая 19:00 сб,2026-04-23T08:01:45Z
kassir:krs:koncert:gala-opera-1,Гала-опера,concert,"music, opera",Красноярский государственный театр оперы и балета,2026-07-05T18:00:00+07:00,2026-07-05T20:30:00+07:00,exact,1.28,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/koncert/gala-opera-1,Гала-опера,5 июля 18:00 вс,2026-04-23T08:01:45Z
kassir:krs:koncert:magiya-severa-volshebnyiy-kontsert-olenyi-uutay-34,Магия Севера. Волшебный концерт Олены УУТАй,concert,music,Красноярская краевая филармония,2026-10-07T19:00:00+07:00,2026-10-07T21:30:00+07:00,exact,1.16,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/koncert/magiya-severa-volshebnyiy-kontsert-olenyi-uutay-34,Магия Севера. Волшебный концерт Олены УУТАй,7 октября 19:00 ср,2026-04-23T08:01:45Z
kassir:krs:koncert:natalya-podolskaya-2,Наталья Подольская,concert,music,Красноярская краевая филармония,2026-10-05T19:00:00+07:00,2026-10-05T21:30:00+07:00,exact,1.08,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/koncert/natalya-podolskaya-2,Наталья Подольская,5 октября 19:00 пн,2026-04-23T08:01:45Z
kassir:krs:koncert:muzyikalnaya-sreda,Музыкальная среда,concert,music,Красноярский драмтеатр им. А.С. Пушкина,,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/koncert/muzyikalnaya-sreda,Музыкальная среда,май – июнь,2026-04-23T08:01:45Z
kassir:krs:koncert:oleg-pogudin-krasnoyarsk,Олег Погудин Красноярск,concert,music,Красноярская краевая филармония,2026-10-06T19:00:00+07:00,2026-10-06T21:30:00+07:00,exact,1.08,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/koncert/oleg-pogudin-krasnoyarsk,Олег Погудин Красноярск,6 октября 19:00 вт,2026-04-23T08:01:45Z
kassir:krs:koncert:silva-edvin-i-drugie,"Сильва, Эдвин и другие",concert,music,Красноярский государственный театр оперы и балета,2026-05-17T15:00:00+07:00,2026-05-17T17:30:00+07:00,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/koncert/silva-edvin-i-drugie,"Сильва, Эдвин и другие",17 мая 15:00 вс,2026-04-23T08:01:45Z
kassir:krs:koncert:muzyika-zemli-russkoy,Музыка земли русской,concert,music,Красноярский государственный театр оперы и балета,2026-05-10T15:00:00+07:00,2026-05-10T17:30:00+07:00,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/koncert/muzyika-zemli-russkoy,Музыка земли русской,10 мая 15:00 вс,2026-04-23T08:01:45Z
kassir:krs:teatr:12-vekov-mujestva,12 веков мужества,theatre,theatre,Красноярский государственный театр оперы и балета,2026-06-12T18:00:00+07:00,2026-06-12T20:30:00+07:00,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/12-vekov-mujestva,12 веков мужества,12 июня 18:00 пт,2026-04-23T08:01:45Z
kassir:krs:koncert:kto-skazal-chto-nujno-brosit-pesni-na-voyne,"Кто сказал, что нужно бросить песни на войне?",concert,music,Красноярский драмтеатр им. А.С. Пушкина,2026-05-08T19:00:00+07:00,2026-05-08T21:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/koncert/kto-skazal-chto-nujno-brosit-pesni-na-voyne,"Кто сказал, что нужно бросить песни на войне?",8 мая 19:00 пт,2026-04-23T08:01:45Z
kassir:krs:koncert:pobeda-budet-za-nami,Победа будет за нами,concert,"kids, music",Красноярский драмтеатр им. А.С. Пушкина,2026-05-09T18:00:00+07:00,2026-05-09T20:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/koncert/pobeda-budet-za-nami,Победа будет за нами,9 мая 18:00 сб,2026-04-23T08:01:45Z
