osm_type,osm_id,name,place_type,lat,lon,address_full,street,housenumber,district,website,phone,opening_hours,osm_url
way,66007517,,arts_centre,56.0115976,92.8663041,"660049, проспект Мира, 71",проспект Мира,71,Центральный район,,,,https://www.openstreetmap.org/way/66007517
way,60219525,Красноярская краевая филармония,arts_centre,56.0124777,92.894712,"проспект Мира, 2Б",проспект Мира,2Б,Центральный район,https://krasfil.ru/,+7 (391) 227-49-30,Mo-Su 11:00-19:00,https://www.openstreetmap.org/way/60219525
node,2107242815,"Студия развития ""Гениус""",arts_centre,56.0365872,92.8785351,"660000, Красноярск, Линейная улица",Линейная улица,,Покровка,,,,https://www.openstreetmap.org/node/2107242815
way,66006820,Школа искусств им. Сурикова,arts_centre,56.0130626,92.8669746,"660049, улица Ленина, 79",улица Ленина,79,Центральный район,,,,https://www.openstreetmap.org/way/66006820
node,11304012907,Film is,cinema,56.036425,92.8814057,"660020, Красноярск, Линейная улица, 90",Линейная улица,90,Покровка,,+7 391 2224859,"Mo-Fr 14:00-04:00, Sa-Su 12:00-04:00",https://www.openstreetmap.org/node/11304012907
node,2519467971,Mori Cinema,cinema,56.037443,92.9358395,"660000, Красноярск, улица Партизана Железняка",улица Партизана Железняка,,Советский район,,+7 391 2568577,"PH,Mo-Su 10:00-24:00",https://www.openstreetmap.org/node/2519467971
node,2519467970,Starmax,cinema,56.0227599,92.7979233,"660000, Красноярск, Свободный проспект",Свободный проспект,,Октябрьский район,,+7 391 2911001,,https://www.openstreetmap.org/node/2519467970
way,66007969,Дом кино,cinema,56.0120943,92.864693,"проспект Мира, 88",проспект Мира,88,Центральный район,,,,https://www.openstreetmap.org/way/66007969
node,2519467972,Киномакс,cinema,56.0507298,92.9028659,"660118, Красноярск, улица 9 Мая, 77",улица 9 Мая,77,Взлётка,,+7 391 2768592,"PH,Mo-Su 10:00-24:00",https://www.openstreetmap.org/node/2519467972
way,60334095,Луч,cinema,56.0092592,92.8562103,"улица Карла Маркса, 149",улица Карла Маркса,149,Центральный район,https://kinoluch.ru/,,,https://www.openstreetmap.org/way/60334095
node,3578106364,Мечта,cinema,55.9949044,92.9726556,"660000, Красноярск, улица Мичурина",улица Мичурина,,Кировский район,,,"PH,Mo-Su 09:00-22:00+",https://www.openstreetmap.org/node/3578106364
